,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode79,barcode80,barcode93,barcode95,barcode96
0,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter terrae,1458337,0.0116408760583858,0.0112972461867242,0.0109465505616267,0.0102766626567274,0.0091877420585318,0.0093585001611773,0.0127626643854456,0.0127447510475091,0.0104168940347231,0.0103680196336129,0.0124410810058008,0.0157511589412545,0.0110188741666352,0.0088180905426249,0.0067615831631031,0.0107512042021469,0.0074143216048179,0.0070957775447372,0.0085424480955992,0.0079650087180465,0.0126353883061938,0.0116153156501059,0.011039301123451,0.0168964696927863,0.0118214503743996,0.0091592349949814,0.011984245287482,0.00875275831299,0.0081513980875211,0.0085624670097163,0.0066476224106247,0.00537701270966,0.0123397229713433,0.0069676207563383,0.009350381469919,0.0095520398162862,0.0082446043885673,0.0094701404671341,0.0088355410651513,0.0085710321313099,0.0158890894162758,0.0042413592401321,0.0066646994352382,0.008131424738162,0.0125014738910738,0.0132580166223319,0.0082058551212345,0.0092812693356436,0.0099618102305433,0.0080175089365765,0.0087465766979344,0.0087922754701408,0.0064970418462691,0.0115393051438535,0.0079917776699281,0.008803097805557,0.011496133274645,0.0122302251713521,0.0108880002043823,0.0058068751323999,0.0061302822412276,0.0044683911055556,0.0074824183899285,0.0082981873274528,0.0080041509588701,0.0070883647730539,0.0095532068686064,0.007820189143074,0.0080158684056355,0.0077421384737717,0.0048769004490682,0.0112564105438364,0.0091125204535421,0.0065460689802374,0.009307552288592,0.0090855459383722,0.0103610593735162,0.0112517307815686,0.0237173569796141,0.0072167740054689,,0.0042456504562599,
1,Bacteria,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,1002870,0.0248788422962873,0.0203219949988144,0.0356176505081666,0.0280682383059155,0.0248939924075922,0.0250858694188749,0.0346558006992171,0.020534852485678,0.0317884684407916,0.0214054993993546,0.0354976947726424,0.0307750405308455,0.0145438230972701,0.0168136307759421,0.0187355148996818,0.0256860507112268,0.0257002947158402,0.0259335873723329,0.0272361548623877,0.0140689345666901,0.0215498022634145,0.0246546449969586,0.025404177381909,0.0347626441255881,0.0219013987334913,0.025141833601738,0.0274178565486679,0.0161832211473008,0.0341515666182372,0.0375266692057547,0.0222208058518335,0.0070245765611814,0.0213800045501574,0.0135253473689936,0.0389583892243047,0.0166188790493579,0.0307004300874869,0.0198930576497731,0.0273211459320665,0.0146466026698586,0.0283406930275398,0.0089327807185486,0.0206055161800585,0.0162363328521542,0.0123719982330967,0.0219192711964098,0.0232490871742601,0.0281765570621265,0.0362084974182193,0.0318145133301668,0.027042810640936,0.0150475853491218,0.019914143984358,0.0269009460971299,0.0174434646806762,0.0263800368743578,0.0177800802021752,0.0227913487576857,0.0198537870840331,0.0158786564834049,0.0380305615734297,0.0285255609263769,0.0389309335500046,0.0325571775792497,0.0239826803021793,0.0214762466617618,0.0312001840500178,0.0272773125090409,0.0158912152515944,0.0208835792829258,0.0218237760629937,0.029208531018819,0.0289943402810038,0.0333425531147387,0.0252945476284245,0.0371822309296899,0.0229694502903368,0.0307477037914118,0.0447080291970802,0.0231895281465287,,0.0287911057228864,
2,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter roseus,1603869,0.0062205126209082,0.0055933226961874,0.0074933397964127,0.0058801169391156,0.0053630027978509,0.0056261581729038,0.0064677659600371,0.0062047584646234,0.0050212334356097,0.0045121054611665,0.0066555215173951,0.0092619457573004,0.0047410380650987,0.0044069537633732,0.0047348035634661,0.0048562791209515,0.0059945942420593,0.005065924655485,0.0055566416298343,0.0039745375942487,0.0059814173068841,0.0045073895153454,0.0058445298776862,0.0096187605470038,0.0077149244000464,0.0038584017183161,0.0068299075086456,0.0045608643580265,0.0050582121122764,0.0045000050890291,0.0038066556051746,0.0050850182896294,0.0046339520241992,0.0031658346380962,0.0046621587571918,0.0034064384533235,0.0061462105445986,0.0044767635806576,0.006165388054428,0.0064087713117102,0.0089821049129412,0.0023365240690773,0.0043967497638135,0.004675395086955,0.0065294061103268,0.0056952347537881,0.0047185922574804,0.0063141395873252,0.0040584323835145,0.0033322338734549,0.0055018121761905,0.0055196735189295,0.0030196941151383,0.0056749306340841,0.0040656152124472,0.0057769862004699,0.0064073325189392,0.0040357209630461,0.0050489612347205,0.0025526745430599,0.0026971906205872,0.0028878658544593,0.0041669693644036,0.0049477460932379,0.0040581882176135,0.005414284886189,0.0049240843386489,0.0047686754492988,0.005692224330704,0.0039560393501848,0.0020974971219139,0.0057260530558657,0.0053233330010524,0.0039754896607345,0.0039439426905749,0.0053110025873546,0.0056758744338785,0.005689847160517,0.018253445901419,0.0037181766885311,,0.0013517850952305,
3,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter namibiensis,1603871,0.0025950815769403,0.0031674091047273,0.0047904910584354,0.0028053796284869,0.0029905453686695,0.0028997765392147,0.0037819278690616,0.0043648954546155,0.0029261362790861,0.0026922351404934,0.0026005154313735,0.0034312530650424,0.0023063567872099,0.0032100918062054,0.0040694317776913,0.0035354273820949,0.0023682169190078,0.0029950536512259,0.0030425961689356,0.0038090376830277,0.0037779021554469,0.0024198914765769,0.0035150025094444,0.0048407121567933,0.0032246510999128,0.0035149508615623,0.0043393585852623,0.0033917836708259,0.0022562917016172,0.0026019016729817,0.0032512798328156,0.0027856102857539,0.0033004061846979,0.0033372329892883,0.002954721635819,0.002384890713868,0.0033776958658347,0.003508759084228,0.002261709686934,0.0037038497273776,0.0036848735448999,0.0016256141866145,0.0027608304378372,0.0026509718136746,0.0040576903899898,0.003639799983508,0.0025198577388684,0.0018613622770674,0.0029414097456068,0.0029298244199309,0.0033144341778318,0.0041363373275851,0.0016269673899185,0.0035003985405576,0.0034200153926753,0.0023025728397001,0.0048436194413904,0.0035358831704516,0.003877600716411,0.0025030732329534,0.0024906628658724,0.0021875434402148,0.0021749563251131,0.0039103977565961,0.0028897857442723,,0.0039750380498289,0.0032190292712531,0.0035853886291219,0.0034404127626815,0.0018404333090627,0.0022340295555197,0.0030154178418687,0.001948243273616,0.0039241987809331,0.0022309231520424,0.0031476457305913,0.0023901364805531,,0.0026967311296165,,0.0008023974675653,
4,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter fermentans,94254,0.0042104653127498,0.0016449716625843,,,,,,0.0018563002378535,,0.0037181042507478,,,,,,,,,,,,,,,,0.0014772318498912,,0.0040545456539099,0.0010095911155981,,0.00181810358461,,0.0018039215686274,,,,0.0045842975325727,,,0.0048148560293783,,0.0057349390372563,,,,,,,,,,0.0048167238249248,,,,,,,0.0014109756694757,,,,,,,,,0.0028256805650988,,,,,,,,,,,,,,,
5,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter jiangsuensis,1591085,0.0019390042565746,0.0006495295538977,,,,,,0.0004225119874759,,0.0012789443278316,,,,,,,,,,,,,,,,0.0015561945782096,,0.0015389044854553,,,0.0013160609445308,,,0.0020357714119528,,,0.0036063566379235,0.0019807863721897,,0.0030958922654217,,0.0181418680418069,,,,,,,,,,0.0012723164209137,,,,,,,0.0023429128059812,,,,,,,,,0.0021573197078025,,,,,,,,,,,,,,,
6,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira multiformis,1231,0.0054409767033525,0.0072556268988577,0.0075799785595589,0.0052182323325031,0.0052110662559231,0.0041062151888405,0.0047729011935235,0.0052862698927049,0.0109272829529225,0.0081304743357634,0.0051069374710461,0.0082582413475529,0.0052821240673088,0.0051056997098736,0.0047838289982513,0.0069394231222215,0.0063286948626624,0.0088947348236211,0.0059475447253491,0.007065796743351,0.0083740706649,0.007809568928162,0.0082530948251252,0.0135669523071013,0.0164729306383443,0.0070483154492526,0.0048736189010525,0.0062699293629589,0.0070048846649986,0.0046901277940862,0.0121129906736072,0.0061265829386203,0.0084128443103784,0.0105393101327551,0.0065073678145393,0.015133954107427,0.0045719207204236,0.0088221325691577,0.0073492974709906,0.0258159775607509,0.0067490339085729,0.0025942540722917,0.0047262340575396,0.0045056945750027,0.0073101268773815,0.0146935776327452,0.0031802599530124,0.005863680900673,0.0093982250601846,0.0054342177719165,0.0038738757433145,0.019229049259208,0.0056540636694013,0.0112959254985978,0.0122504552829584,0.0043841448142319,0.0108744148748192,0.0071674642653431,0.0080743115777593,0.0106271281200312,0.0121471363644633,0.008348515837292,0.0061453425873952,0.0074100488366635,0.0044928942707888,0.0064859429246834,0.0054264302980815,0.0092602945868323,0.0090416346405016,0.0109057412579349,0.0069280766101892,0.0043822420430442,0.0057544593464912,0.0047095611323782,0.0202853321420621,0.0048368775738106,0.0123259056835412,0.00732488477295,0.0283491356026039,0.0057108812266996,,0.0027128540297253,
7,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira lacus,1288494,0.0020538844659517,0.0013149843710914,,0.0006879786750677,0.0012660423296989,0.0012982985732521,0.0017603115885083,0.0010594880442244,0.0040581193488827,,0.0012727470387622,0.0020660368254194,0.0014779882715945,,0.0024202294888508,0.0013995487326789,0.002475772361477,0.0015995033581466,0.001360685378353,0.0007731636270706,,0.0015952936079843,0.0017222417013313,,0.001781367383051,0.0015439531641757,0.002517020058059,0.0014225800046183,0.0014343739044624,0.0013061661596614,0.0029109066327796,0.0014104938888731,0.001212882461191,0.0023633925555353,0.0012743606451172,0.0033659778177117,,0.0020294046482827,0.0024168214880866,0.0045946036320391,0.0025428469780304,0.0010997817166736,0.0015961769159842,0.0014365436788998,0.0028831079069318,0.0015332130982254,0.0012285383783821,0.0015512652804502,,0.0017579111044444,0.001391206633557,0.0046859030501964,0.0017100540574549,0.0046304473540639,0.0023886699113311,0.0010538073263181,,0.0016907573600252,0.0014950225961196,0.0048931790886482,,,0.0009835828024502,,0.0009835553504349,,0.0013315567180322,0.0021818800490484,0.0015995672606771,0.0014141429952331,0.0016568913814409,0.0015263676946917,0.0022732983658247,0.0008323221362438,0.0027292287396941,0.0012790110963386,0.0041610881958411,0.0029151053255509,,0.0013468135214844,,,
8,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter caseinilyticus,2675101,0.0046223767854067,0.0053802095344026,0.0062961316254786,0.0032739846858973,0.0035841249334949,0.0033930877624216,0.0056853023331472,0.0039514839471225,0.0030854823356103,0.0045957855640771,0.0043840432354456,0.0051675507214777,0.0027652230034447,0.0039423432444487,0.0045230576949596,0.0028378669405836,0.0042666798227836,0.0041749304943765,0.0043213567604054,0.0029134688112309,0.0058297374484891,0.0029222518041464,0.0038883851345968,0.0064722459625112,0.0067547200956974,0.0050560246459195,0.0046658605134874,0.0037662559276448,0.0030863229276835,0.0034915386856721,0.0052098453577491,0.0019795669003445,0.0039872734107252,0.0058560637358784,0.0051628949356509,0.0058291560083486,0.0050809834112136,0.0063409724917526,0.0049464756041437,0.0038844805803616,0.0054993432037429,0.0018157107478797,0.0035718715316518,0.0039049131044986,0.0023579000429122,0.0052414181434737,0.0024289293121631,0.0033401778852554,0.005899035699407,0.004214452817552,0.0074980581435325,0.0040691582047713,0.0029187692195384,0.0039732775385416,0.004068661898553,0.0036687822648568,0.0073765234124439,0.0023038901488298,0.0042370135221334,0.002876523624483,0.0068940043014283,0.0057562267377362,0.0043102446394433,0.0069785584080094,0.0038852435375891,0.0063638429179317,0.0057833024978307,0.0067235060364696,0.0030956776141417,0.0036462300791375,0.003134010368179,0.0036330317367173,0.005934542763148,0.0038604376079955,0.0096217728184132,0.0051374850615654,0.0043389566066283,0.0044524975696754,,0.0041357656912113,,,
9,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter soli,363832,0.0037545326654614,0.0046355199241992,0.0057843703371583,0.0055860311159879,0.003208416584053,0.0040667458908571,0.0045737912002754,0.0045207051199317,0.0056361540368429,0.0040786912840811,0.0055452106264181,0.004543818651276,0.0029428423175033,0.003578283792881,0.004191658271963,0.004382230504513,0.0047085359621155,0.0044302789071795,0.0060223412217052,0.0021760619817231,0.0046021634106113,0.0030742995689978,0.0042375802211961,0.007590478634631,0.003896815044981,0.0058810537059285,0.0045087891029757,0.0031050665293038,0.0056817855729251,0.0051265541411776,0.0040286535871223,0.0025819777839242,0.0040796723732243,0.0017343117394553,0.006016349364194,0.0037668755623409,0.007510784889093,0.0049906690074116,0.0049177462273924,0.0033941538979041,0.0046356411715647,0.0026450366911212,0.0034306387045718,0.0034928891308107,0.0029208887557468,0.0043640014360293,0.0038161237813778,0.0042031108068159,0.0078228077437871,0.0069366496754595,0.0049187844466987,0.0033861711525313,0.0032834437789114,0.0046199295940384,0.0026163481488801,0.0047002246758872,0.0030598241743205,0.0035683068846763,0.0036192276539335,0.0024262694829834,0.0075241339571336,0.0051790969952932,0.0054726292298487,0.0044594060680937,0.0031756858505151,0.0066835451331873,0.0048622032560275,0.0051885130981376,0.0027282963325219,0.0033855215388601,0.0027969920402415,0.0043166339215735,0.0045294417709858,0.0055724391172312,0.0044865889405447,0.005235959200576,0.0042845734388417,0.004874965525748,,0.0043850980041729,,0.0096275984334558,
