sample,reads,f,ft,ftu,ftuc,final
barcode01,23435,22819,22734,22734,22734,22734
barcode02,41852,40866,40742,40742,40742,40742
barcode03,17587,17202,17158,17158,17158,17158
barcode04,48125,47146,46970,46970,46970,46970
barcode05,36310,35584,35469,35469,35469,35469
barcode06,50807,49715,49526,49526,49526,49526
barcode07,37168,36369,36280,36280,36280,36280
barcode08,39188,38262,38156,38156,38156,38156
barcode09,25563,24927,24851,24851,24851,24851
barcode10,24651,24150,24050,24050,24050,24050
barcode11,36492,35650,35537,35537,35537,35537
barcode12,18725,18177,18130,18130,18130,18130
barcode13,32901,32052,31935,31935,31935,31935
barcode14,21397,20949,20880,20880,20880,20880
barcode15,25381,24784,24733,24733,24733,24733
barcode16,36337,35606,35520,35520,35520,35520
barcode17,23369,22843,22755,22755,22755,22755
barcode18,33603,32822,32712,32712,32712,32712
barcode19,36506,35801,35686,35686,35686,35686
barcode20,54125,53114,52922,52922,52922,52922
barcode21,19250,18837,18787,18787,18787,18787
barcode22,31607,30976,30873,30873,30873,30873
barcode23,38609,37815,37670,37670,37670,37670
barcode24,19453,19009,18946,18946,18946,18946
barcode25,27376,26791,26706,26706,26706,26706
barcode26,29804,29039,28943,28943,28943,28943
barcode27,23515,23057,22973,22973,22973,22973
barcode28,38220,37108,36976,36976,36976,36976
barcode29,36361,35540,35443,35443,35443,35443
barcode30,36284,35548,35417,35417,35417,35417
barcode31,43052,42122,42003,42003,42003,42003
barcode32,17868,17467,17414,17414,17414,17414
barcode33,30296,29611,29518,29518,29518,29518
barcode34,22698,22244,22179,22179,22179,22179
barcode35,30536,29867,29773,29773,29773,29773
barcode36,37639,36761,36634,36634,36634,36634
barcode37,21904,21322,21259,21259,21259,21259
barcode38,26645,25960,25886,25886,25886,25886
barcode39,23734,23201,23123,23123,23123,23123
barcode40,37230,36434,36306,36306,36306,36306
barcode41,19233,18904,18851,18851,18851,18851
barcode42,30398,29766,29690,29690,29690,29690
barcode43,40615,39636,39513,39513,39513,39513
barcode44,21727,21193,21124,21124,21124,21124
barcode45,27088,26390,26291,26291,26291,26291
barcode46,21308,20897,20831,20831,20831,20831
barcode47,32783,32111,32008,32008,32008,32008
barcode48,32636,32148,32043,32043,32043,32043
barcode49,14791,14400,14347,14347,14347,14347
barcode50,38685,37818,37690,37690,37690,37690
barcode51,29639,29062,28958,28958,28958,28958
barcode52,33710,32812,32724,32724,32724,32724
barcode53,29528,28654,28590,28590,28590,28590
barcode54,29763,29069,28976,28976,28976,28976
barcode55,42173,41253,41119,41119,41119,41119
barcode56,35090,34227,34102,34102,34102,34102
barcode57,18654,18254,18211,18211,18211,18211
barcode58,27917,27243,27150,27150,27150,27150
barcode59,52556,51420,51254,51254,51254,51254
barcode60,34040,33182,33077,33077,33077,33077
barcode61,16329,15930,15891,15891,15891,15891
barcode62,19991,19584,19521,19521,19521,19521
barcode63,59372,58139,57942,57942,57942,57942
barcode64,23331,22741,22682,22682,22682,22682
barcode65,47251,46430,46269,46269,46269,46269
barcode66,32046,31489,31400,31400,31400,31400
barcode67,30228,29576,29484,29484,29484,29484
barcode68,24209,23638,23560,23560,23560,23560
barcode69,38063,37327,37207,37207,37207,37207
barcode70,29802,29104,29020,29020,29020,29020
barcode71,26298,25704,25610,25610,25610,25610
barcode72,36133,35544,35426,35426,35426,35426
barcode73,29805,29043,28930,28930,28930,28930
barcode74,49647,48087,47955,47955,47955,47955
barcode75,18139,17642,17590,17590,17590,17590
barcode76,36268,35466,35377,35377,35377,35377
barcode77,25197,24653,24564,24564,24564,24564
barcode78,29232,28591,28504,28504,28504,28504
barcode79,44920,43695,43562,43562,43562,43562
barcode80,40958,39843,39698,39698,39698,39698
barcode81,0,0,0,0,0,0
barcode82,0,0,0,0,0,0
barcode83,0,0,0,0,0,0
barcode84,0,0,0,0,0,0
barcode85,0,0,0,0,0,0
barcode86,0,0,0,0,0,0
barcode87,0,0,0,0,0,0
barcode88,0,0,0,0,0,0
barcode89,0,0,0,0,0,0
barcode90,0,0,0,0,0,0
barcode91,0,0,0,0,0,0
barcode92,1210,1210,1209,1209,1209,1209
barcode93,52,52,52,52,52,52
barcode94,0,0,0,0,0,0
barcode95,31762,30697,30560,30560,30560,30560
barcode96,82650,81545,81316,81316,81316,81316
