sample,reads,f,ft,ftu,ftuc,final
barcode01,13100,12567,12505,12505,12505,12505
barcode02,28277,27468,27349,27349,27349,27349
barcode03,8054,7827,7797,7797,7797,7797
barcode04,33479,32709,32533,32533,32533,32533
barcode05,22959,22371,22250,22250,22250,22250
barcode06,38506,37397,37222,37222,37222,37222
barcode07,17255,16778,16685,16685,16685,16685
barcode08,29829,29079,28957,28957,28957,28957
barcode09,12885,12480,12397,12397,12397,12397
barcode10,14562,14175,14105,14105,14105,14105
barcode11,19611,19084,18987,18987,18987,18987
barcode12,12397,11988,11922,11922,11922,11922
barcode13,16670,16197,16114,16114,16114,16114
barcode14,10349,10048,9977,9977,9977,9977
barcode15,13913,13422,13357,13357,13357,13357
barcode16,21811,21170,21053,21053,21053,21053
barcode17,12672,12268,12216,12216,12216,12216
barcode18,19143,18561,18478,18478,18478,18478
barcode19,17870,17362,17247,17247,17247,17247
barcode20,37645,36844,36656,36656,36656,36656
barcode21,10818,10474,10412,10412,10412,10412
barcode22,17397,16997,16898,16898,16898,16898
barcode23,27470,26881,26754,26754,26754,26754
barcode24,9793,9471,9410,9410,9410,9410
barcode25,12281,11858,11808,11808,11808,11808
barcode26,14156,13706,13653,13653,13653,13653
barcode27,9087,8792,8731,8731,8731,8731
barcode28,23402,22733,22625,22625,22625,22625
barcode29,20881,20225,20136,20136,20136,20136
barcode30,25369,24659,24496,24496,24496,24496
barcode31,27741,26998,26870,26870,26870,26870
barcode32,13853,13402,13327,13327,13327,13327
barcode33,15283,14821,14728,14728,14728,14728
barcode34,16079,15728,15670,15670,15670,15670
barcode35,22799,22189,22083,22083,22083,22083
barcode36,24596,23648,23518,23518,23518,23518
barcode37,9617,9243,9184,9184,9184,9184
barcode38,12442,12013,11948,11948,11948,11948
barcode39,12260,11894,11824,11824,11824,11824
barcode40,20185,19652,19532,19532,19532,19532
barcode41,9621,9385,9338,9338,9338,9338
barcode42,16094,15576,15472,15472,15472,15472
barcode43,20521,19854,19752,19752,19752,19752
barcode44,14119,13689,13641,13641,13641,13641
barcode45,14862,14387,14293,14293,14293,14293
barcode46,12497,12230,12168,12168,12168,12168
barcode47,16305,15847,15757,15757,15757,15757
barcode48,18588,18205,18099,18099,18099,18099
barcode49,7699,7388,7335,7335,7335,7335
barcode50,16762,16306,16223,16223,16223,16223
barcode51,13097,12720,12669,12669,12669,12669
barcode52,22038,21227,21109,21109,21109,21109
barcode53,15394,14982,14899,14899,14899,14899
barcode54,12595,12118,12047,12047,12047,12047
barcode55,24959,24230,24096,24096,24096,24096
barcode56,22006,21468,21381,21381,21381,21381
barcode57,8269,8019,7982,7982,7982,7982
barcode58,19616,19187,19108,19108,19108,19108
barcode59,42914,41612,41415,41415,41415,41415
barcode60,20452,19870,19784,19784,19784,19784
barcode61,7193,6951,6923,6923,6923,6923
barcode62,10599,10216,10178,10178,10178,10178
barcode63,37865,36902,36739,36739,36739,36739
barcode64,9186,8941,8898,8898,8898,8898
barcode65,33377,32483,32333,32333,32333,32333
barcode66,6607,6443,6405,6405,6405,6405
barcode67,17530,17018,16919,16919,16919,16919
barcode68,12936,12517,12461,12461,12461,12461
barcode69,29596,28832,28645,28645,28645,28645
barcode70,20266,19777,19683,19683,19683,19683
barcode71,22181,21562,21441,21441,21441,21441
barcode72,22236,21698,21584,21584,21584,21584
barcode73,16143,15723,15655,15655,15655,15655
barcode74,29773,29018,28931,28931,28931,28931
barcode75,8322,8042,7994,7994,7994,7994
barcode76,19820,19222,19132,19132,19132,19132
barcode77,12525,12152,12081,12081,12081,12081
barcode78,17056,16554,16487,16487,16487,16487
barcode79,2423,2339,2325,2325,2325,2325
barcode80,32192,31236,31089,31089,31089,31089
barcode81,0,0,0,0,0,0
barcode82,0,0,0,0,0,0
barcode83,0,0,0,0,0,0
barcode84,0,0,0,0,0,0
barcode85,0,0,0,0,0,0
barcode86,0,0,0,0,0,0
barcode87,0,0,0,0,0,0
barcode88,0,0,0,0,0,0
barcode89,0,0,0,0,0,0
barcode90,0,0,0,0,0,0
barcode91,0,0,0,0,0,0
barcode92,0,0,0,0,0,0
barcode93,242,242,242,242,242,242
barcode94,0,0,0,0,0,0
barcode95,19531,18727,18604,18604,18604,18604
barcode96,3923,3863,3855,3855,3855,3855
