sample,reads,f,ft,ftu,ftuc,final
barcode01,9121,7709,7638,7638,7638,7638
barcode02,19755,18549,18452,18452,18452,18452
barcode03,6799,6167,6141,6141,6141,6141
barcode04,18662,17358,17253,17253,17253,17253
barcode05,16674,15696,15603,15603,15603,15603
barcode06,22362,20911,20758,20758,20758,20758
barcode07,14554,13591,13502,13502,13502,13502
barcode08,11660,10585,10506,10506,10506,10506
barcode09,7616,6863,6819,6819,6819,6819
barcode10,7630,6913,6857,6857,6857,6857
barcode11,14714,13806,13718,13718,13718,13718
barcode12,9387,8595,8561,8561,8561,8561
barcode13,15793,14942,14865,14865,14865,14865
barcode14,5766,5137,5071,5071,5071,5071
barcode15,11266,10464,10425,10425,10425,10425
barcode16,19359,17881,17813,17813,17813,17813
barcode17,11927,11231,11168,11168,11168,11168
barcode18,18043,17121,17042,17042,17042,17042
barcode19,13647,12711,12630,12630,12630,12630
barcode20,24233,23096,22947,22947,22947,22947
barcode21,9881,8873,8832,8832,8832,8832
barcode22,11307,10499,10434,10434,10434,10434
barcode23,19521,18644,18538,18538,18538,18538
barcode24,5651,4830,4774,4774,4774,4774
barcode25,7155,6202,6163,6163,6163,6163
barcode26,12508,11546,11473,11473,11473,11473
barcode27,6082,5453,5394,5394,5394,5394
barcode28,19255,18183,18099,18099,18099,18099
barcode29,18772,17696,17626,17626,17626,17626
barcode30,15350,14273,14151,14151,14151,14151
barcode31,22233,21134,21037,21037,21037,21037
barcode32,9404,8685,8625,8625,8625,8625
barcode33,11774,10937,10855,10855,10855,10855
barcode34,13723,12990,12927,12927,12927,12927
barcode35,14475,13658,13582,13582,13582,13582
barcode36,21732,20518,20406,20406,20406,20406
barcode37,6549,5682,5615,5615,5615,5615
barcode38,12280,11348,11294,11294,11294,11294
barcode39,6447,5702,5657,5657,5657,5657
barcode40,12864,11831,11763,11763,11763,11763
barcode41,7137,6646,6601,6601,6601,6601
barcode42,8161,7362,7283,7283,7283,7283
barcode43,14851,13683,13589,13589,13589,13589
barcode44,9486,8631,8586,8586,8586,8586
barcode45,16696,15675,15595,15595,15595,15595
barcode46,6646,5952,5895,5895,5895,5895
barcode47,14380,13610,13537,13537,13537,13537
barcode48,11251,10610,10510,10510,10510,10510
barcode49,3385,2712,2676,2676,2676,2676
barcode50,13913,12804,12715,12715,12715,12715
barcode51,12923,12079,12011,12011,12011,12011
barcode52,19554,18008,17884,17884,17884,17884
barcode53,14834,13992,13923,13923,13923,13923
barcode54,8394,7507,7441,7441,7441,7441
barcode55,21373,20011,19908,19908,19908,19908
barcode56,18532,17485,17410,17410,17410,17410
barcode57,4759,4171,4136,4136,4136,4136
barcode58,13921,13036,12968,12968,12968,12968
barcode59,26949,25383,25238,25238,25238,25238
barcode60,14697,13634,13560,13560,13560,13560
barcode61,4589,4048,4024,4024,4024,4024
barcode62,10398,9644,9595,9595,9595,9595
barcode63,29805,28290,28101,28101,28101,28101
barcode64,12418,11636,11596,11596,11596,11596
barcode65,17651,16553,16461,16461,16461,16461
barcode66,13003,12217,12147,12147,12147,12147
barcode67,11208,10432,10380,10380,10380,10380
barcode68,11875,10913,10850,10850,10850,10850
barcode69,13423,12582,12503,12503,12503,12503
barcode70,16277,15258,15172,15172,15172,15172
barcode71,13877,13101,13030,13030,13030,13030
barcode72,14668,13829,13741,13741,13741,13741
barcode73,18593,17310,17202,17202,17202,17202
barcode74,20124,19045,18982,18982,18982,18982
barcode75,6154,5485,5434,5434,5434,5434
barcode76,13119,12075,11997,11997,11997,11997
barcode77,7669,7019,6971,6971,6971,6971
barcode78,15065,14065,13993,13993,13993,13993
barcode79,0,0,0,0,0,0
barcode80,0,0,0,0,0,0
barcode81,0,0,0,0,0,0
barcode82,0,0,0,0,0,0
barcode83,0,0,0,0,0,0
barcode84,0,0,0,0,0,0
barcode85,0,0,0,0,0,0
barcode86,0,0,0,0,0,0
barcode87,0,0,0,0,0,0
barcode88,0,0,0,0,0,0
barcode89,0,0,0,0,0,0
barcode90,0,0,0,0,0,0
barcode91,0,0,0,0,0,0
barcode92,0,0,0,0,0,0
barcode93,0,0,0,0,0,0
barcode94,510,510,510,510,510,510
barcode95,8431,7462,7400,7400,7400,7400
barcode96,0,0,0,0,0,0
