ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
10,Skermanella stibiiresistens,,Skermanella stibiiresistens,1.6968702,M2,Pseudomonadota,18.818995,0.316205534,80,3,6,0.434402332,0.510178971,0.197198386,23
18,Pirellula staleyi,,Pirellula staleyi,0.33689544,M1,Planctomycetota,36.92062771,0.542424242,537,0,7,0.443452381,0.581271972,0.126714108,45
35,Arthrobacter sp. KBS0702,,Arthrobacter sp. KBS0702,0.4986814,M2,Actinomycetota,16.67185122,0.484210526,92,1,5,0.369727047,0.44541387,0.100110251,20
23,Pseudarthrobacter sulfonivorans,,Pseudarthrobacter sulfonivorans,0.85626006,M2,Actinomycetota,17.43208212,0.414285714,87,1,5,0.370646766,0.448769575,0.096124268,21
88,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.32196462,M1,Actinomycetota,23.37334168,0.482758621,196,3,7,0.417366947,0.52254714,0.092651568,29
33,Arthrobacter sp. QXT-31,,Arthrobacter sp. QXT-31,0.8845567,M2,Actinomycetota,20.21762592,0.445652174,123,1,5,0.309128631,0.409619687,0.070403439,24
118,Microvirga ossetica,,Microvirga ossetica,0.82838637,M2,Pseudomonadota,16.25390053,0.352631579,67,3,6,0.40599455,0.47885906,0.067222233,20
92,Microlunatus aurantiacus,,Microlunatus aurantiacus,0.32306433,M2,Actinomycetota,14.4869386,0.346405229,53,3,6,0.390052356,0.459284116,0.061114009,18
147,Candidatus Saccharimonas aalborgensis,,Candidatus Saccharimonas aalborgensis,0.10625001,M2,Candidatus Saccharibacteria,4.802947402,0.466666667,7,1,6,0.24386252,0.301230425,0.058041602,6
53,Sphingomonas sp. AE3,,Sphingomonas sp. AE3,0.3923891,M2,Pseudomonadota,9.465517938,0.378787879,25,1,5,0.346511628,0.406935123,0.050129586,12
57,Nitrosospira briensis,,Nitrosospira briensis,0.7104624,M5,Pseudomonadota,3.356565952,0.5,3,7,7,0.19840213,0.237919463,0.04392941,4
14,Steroidobacter denitrificans,,Steroidobacter denitrificans,1.0448623,M1,Pseudomonadota,44.1506362,0.486937591,671,0,8,0.394179894,0.579106743,0.040894797,53
79,Ilumatobacter fluminis,,Ilumatobacter fluminis,0.66050965,M1,Actinomycetota,6.498884022,0.285714286,8,8,6,0.350588235,0.398657718,0.040046725,8
27,Pseudarthrobacter sp. NIBRBAC000502772,,Pseudarthrobacter sp. NIBRBAC000502772,0.4777444,M2,Actinomycetota,12.12502795,0.552380952,58,1,5,0.362530414,0.425838926,0.037774331,15
75,Aciditerrimonas ferrireducens,,Aciditerrimonas ferrireducens,0.8405679,M1,Actinomycetota,42.61117649,0.509803922,676,0,8,0.393139842,0.575751039,0.037640006,52
2,Stenotrophobacter roseus,,Stenotrophobacter roseus,0.39471543,M2,Acidobacteriota,14.4229933,0.444444444,68,2,7,0.394179894,0.473889422,0.035274223,18
41,Flavisolibacter tropicus,,Flavisolibacter tropicus,0.22954571,M2,Bacteroidota,7.959811211,0.355555556,16,2,7,0.336343115,0.392457654,0.034971889,10
39,Flavisolibacter ginsenosidimutans,,Flavisolibacter ginsenosidimutans,0.37640083,M3,Bacteroidota,4.784344852,0.133333333,2,2,8,0.288201161,0.333357303,0.033450712,6
115,Gemmatirosa kalamazoonesis,,Gemmatirosa kalamazoonesis,0.591777,M1,Gemmatimonadota,15.40529352,0.397660819,68,8,7,0.365196078,0.455433046,0.03160902,19
90,Microlunatus ginsengisoli,,Microlunatus ginsengisoli,0.44323006,M1,Actinomycetota,15.27286047,0.543859649,93,3,7,0.400537634,0.483397252,0.030904478,19
25,Arthrobacter sp. PGP41,,Arthrobacter sp. PGP41,0.54419297,M2,Actinomycetota,16.05436778,0.543859649,93,1,5,0.295634921,0.383221477,0.030101499,19
11,Nitrospira japonica,,Nitrospira japonica,1.5934541,M3,Nitrospirota,17.52582443,0.558441558,129,2,7,0.397333333,0.486752956,0.027953428,22
21,Chryseolinea soli,,Chryseolinea soli,1.3808272,M1,Bacteroidota,37.73870653,0.576811594,597,0,8,0.384020619,0.550023969,0.027226114,46
64,Chthoniobacter flavus,,Chthoniobacter flavus,0.4493631,M2,Verrucomicrobiota,9.508422196,0.439393939,29,2,7,0.37913486,0.444806647,0.027094128,12
29,Arthrobacter sp. YN,,Arthrobacter sp. YN,0.40118685,M2,Actinomycetota,13.95668936,0.566176471,77,1,5,0.294466403,0.374608501,0.026634613,17
38,Arthrobacter pascens,,Arthrobacter pascens,0.2185062,M2,Actinomycetota,15.29863358,0.594771242,91,1,5,0.29740519,0.381879195,0.025849201,18
94,Gaiella occulta,,Gaiella occulta,2.1029634,M1,Actinomycetota,11.42499924,0.318681319,29,8,7,0.345707657,0.423441994,0.025302485,14
3,Stenotrophobacter namibiensis,,Stenotrophobacter namibiensis,0.2619029,M2,Acidobacteriota,13.04242885,0.441666667,53,2,7,0.393139842,0.46829658,0.024451861,16
20,Chryseolinea serpens,,Chryseolinea serpens,0.46983486,M3,Bacteroidota,27.39061439,0.529411765,297,2,8,0.364303178,0.500247683,0.02281343,34
