ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangles,Modularity,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
99,Brevitalea deliciosa,,Brevitalea deliciosa,0.7498024,M2,Acidobacteriota,34,28.75149632,7,0.375854214,0.495367965,0.00221418,4,0.654188948,367
98,Gaiella occulta,,Gaiella occulta,2.3051083,M2,Actinomycetota,18,15.40568292,6,0.368303571,0.450909091,0.003171085,1,0.555555556,85
97,Gemmata sp. SH-PL17,,Gemmata sp. SH-PL17,0.183486,M2,Planctomycetota,1,0.816159606,8,0.248493976,0.277164502,0,1,0,0
96,Nitrosospira multiformis,,Nitrosospira multiformis,0.9212308,M4,Pseudomonadota,2,1.724009097,2,0.75,0.833333333,0,5,1,1
95,Microlunatus aurantiacus,,Microlunatus aurantiacus,0.32241112,M1,Actinomycetota,41,35.13287002,5,0.476878613,0.574343434,0.03189097,1,0.508536585,417
94,Friedmanniella endophytica,,Friedmanniella endophytica,0.1444297,M1,Actinomycetota,28,23.36684543,6,0.413533835,0.508787879,0.001267621,1,0.748677249,283
93,Microlunatus ginsengisoli,,Microlunatus ginsengisoli,0.465137,M1,Actinomycetota,38,32.14705473,6,0.444743935,0.54959596,0.026918791,1,0.519203414,365
92,Microlunatus panaciterrae,,Microlunatus panaciterrae,0.19790275,M1,Actinomycetota,24,19.99040836,5,0.428571429,0.505353535,0.003506872,1,0.75,207
91,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.33224073,M1,Actinomycetota,45,38.75398904,6,0.438829787,0.566363636,0.00923816,1,0.593939394,588
90,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.24246363,M10,Cyanobacteriota,1,0.863409996,1,1,1,0,3,0,0
9,Skermanella aerolata,,Skermanella aerolata,0.30864966,M1,Pseudomonadota,17,14.31326312,6,0.40942928,0.472121212,0.006100756,1,0.661764706,90
89,Planctomycetales bacterium,,Planctomycetales bacterium,0.561205,M2,Planctomycetota,47,40.11037022,6,0.435356201,0.567878788,0.012600909,4,0.540240518,584
88,Thermostilla marina,,Thermostilla marina,0.24456063,M2,Planctomycetota,34,29.23003793,7,0.373303167,0.494256854,0.00111374,4,0.752228164,422
87,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.24875459,M2,Planctomycetota,45,38.13741744,6,0.434210526,0.562828283,0.015472138,4,0.581818182,576
86,Devosia sp. A16,,Devosia sp. A16,0.45923924,M6,Pseudomonadota,1,0.880548775,8,0.213454075,0.229487734,0,1,0,0
85,Gloeocapsa sp. PCC 7428,,Gloeocapsa sp. PCC 7428,0.2065528,M3,Cyanobacteriota,4,3.402589321,1,1,1,2.05E-05,2,0.833333333,5
