ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangles,Modularity,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
99,Brevitalea aridisoli,,Brevitalea aridisoli,0.23729284,M3,Acidobacteriota,33,27.05258971,6,0.362445415,0.482228916,0.113033238,6,0.59280303,313
98,Brevitalea deliciosa,,Brevitalea deliciosa,0.6746637,M1,Acidobacteriota,40,33.17966402,6,0.363238512,0.500702811,0.1143748,0,0.597435897,466
97,Gaiella occulta,,Gaiella occulta,2.175703,M1,Actinomycetota,7,5.779899418,8,0.25499232,0.325867757,0.018419863,8,0.476190476,10
96,Nitrosospira multiformis,,Nitrosospira multiformis,0.8272832,M2,Pseudomonadota,4,3.312969327,10,0.163546798,0.211543794,7.16E-05,2,0.5,3
95,Microlunatus aurantiacus,,Microlunatus aurantiacus,0.33389565,M2,Actinomycetota,8,6.355247736,7,0.259780908,0.314773379,0.012562828,3,0.5,14
94,Friedmanniella endophytica,,Friedmanniella endophytica,0.13252091,M4,Actinomycetota,6,4.782165945,9,0.222520107,0.296287531,0.010962727,8,0.666666667,10
93,Microlunatus ginsengisoli,,Microlunatus ginsengisoli,0.44437298,M4,Actinomycetota,8,6.564727008,8,0.261829653,0.349784854,0.002147784,8,0.678571429,19
92,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.31600145,M4,Actinomycetota,7,5.71605742,8,0.262243286,0.348981641,5.56E-04,8,0.571428571,12
91,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.41908768,M6,Cyanobacteriota,2,1.755771399,2,0.75,0.833333333,0,5,1,1
90,Planctomycetales bacterium,,Planctomycetales bacterium,0.57624555,M1,Planctomycetota,29,23.49147117,8,0.281355932,0.432114171,0.035165237,0,0.608374384,247
9,Skermanella aerolata,,Skermanella aerolata,0.32248485,M2,Pseudomonadota,8,6.617945135,7,0.256965944,0.30543603,0.013957322,3,0.535714286,15
89,Thermostilla marina,,Thermostilla marina,0.23884885,M1,Planctomycetota,30,24.75180012,8,0.278056951,0.428800918,0.016830935,0,0.744827586,324
88,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.2452026,M1,Planctomycetota,32,26.57608539,7,0.318007663,0.456554791,0.004659772,0,0.762096774,378
87,Gloeocapsa sp. PCC 7428,,Gloeocapsa sp. PCC 7428,0.21797228,M5,Cyanobacteriota,6,4.778969467,8,0.25499232,0.332616179,0.009150927,7,0.266666667,4
86,Crinalium epipsammum,,Crinalium epipsammum,0.8207998,M5,Cyanobacteriota,5,4.269270778,9,0.213367609,0.266253108,3.77E-04,7,0.7,7
85,Anabaena cylindrica,,Anabaena cylindrica,0.32339254,M5,Cyanobacteriota,4,3.324244559,9,0.20906801,0.25566791,2.21E-05,7,0.833333333,5
