ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
80,Microcoleus sp. PCC 7113,,Microcoleus sp. PCC 7113,2.3564067,M6,Cyanobacteriota,1,0.815269113,2,0.6,0.666666667,0,6,0,0
47,Rhizobacter gummiphilus,,Rhizobacter gummiphilus,0.5678074,M8,Pseudomonadota,1,0.797472417,1,1,1,0,1,0,0
141,Ramlibacter tataouinensis,,Ramlibacter tataouinensis,0.5525068,M5,Pseudomonadota,1,0.805156589,2,0.6,0.666666667,0,3,0,0
175,Pseudoxanthomonas mexicana,,Pseudoxanthomonas mexicana,0.50034034,M7,Pseudomonadota,1,0.764341474,2,0.666666667,0.75,0,8,0,0
86,Devosia sp. A16,,Devosia sp. A16,0.46383587,M1,Pseudomonadota,1,0.765357971,7,0.222921914,0.240032284,0,7,0,0
71,[Polyangium] brachysporum,,[Polyangium] brachysporum,0.43781286,M5,Pseudomonadota,3,2.379612923,1,1,1,1.64E-04,3,0,0
48,Rubrivivax gelatinosus,,Rubrivivax gelatinosus,0.36384007,M5,Pseudomonadota,1,0.793567419,2,0.6,0.666666667,0,3,0,0
5,Aridibacter nitratireducens,,Aridibacter nitratireducens,0.27565104,M4,Acidobacteriota,2,1.614077508,7,0.263001486,0.292238364,0.009598604,0,0,0
189,Pseudomonas fluorescens,,Pseudomonas fluorescens,0.27504864,M9,Pseudomonadota,1,0.816338718,1,1,1,0,9,0,0
145,Tetrasphaera duodecadis,,Tetrasphaera duodecadis,0.2701091,M3,Actinomycetota,3,2.34522903,6,0.311072056,0.336817326,0.010821162,7,0,0
155,Rhodocytophaga aerolata,,Rhodocytophaga aerolata,0.26974767,M4,Bacteroidota,1,0.853518426,8,0.208480565,0.22397767,0,0,0,0
159,Sphingobium fuliginis,,Sphingobium fuliginis,0.23191793,M3,Pseudomonadota,1,0.795873821,8,0.202981651,0.217742803,0,7,0,0
75,Tepidisphaera mucosa,,Tepidisphaera mucosa,0.19625679,M3,Planctomycetota,1,0.763951123,6,0.271889401,0.305649718,0,4,0,0
139,Sphingobium sp. MI1205,,Sphingobium sp. MI1205,0.18710054,M1,Pseudomonadota,1,0.835531592,7,0.22987013,0.253874092,0,7,0,0
187,Rhizobacter dauci,,Rhizobacter dauci,0.18384767,M8,Pseudomonadota,1,0.797472417,1,1,1,0,1,0,0
31,Arthrobacter sp. U41,,Arthrobacter sp. U41,0.18167908,M3,Acidobacteriota,2,1.623222709,6,0.297979798,0.325800377,2.10E-04,7,0,0
154,Stigmatella aurantiaca,,Stigmatella aurantiaca,0.17348666,M2,Myxococcota,1,0.770617127,7,0.279620853,0.322141512,0,4,0,0
137,Altererythrobacter dongtanensis,,Altererythrobacter dongtanensis,0.17047474,M7,Pseudomonadota,1,0.829604983,2,0.666666667,0.75,0,8,0,0
153,Sandaracinus amylolyticus,,Sandaracinus amylolyticus,0.16517375,M2,Myxococcota,1,0.769771516,6,0.2832,0.320998117,0,0,0,0
116,Lysobacter capsici,,Lysobacter capsici,0.16023421,M1,Pseudomonadota,1,0.799205124,7,0.259150805,0.287489911,0,7,0,0
114,Lysobacter dokdonensis,,Lysobacter dokdonensis,0.15493323,M3,Pseudomonadota,1,0.780115008,7,0.252857143,0.267527576,0,2,0,0
126,Pedobacter mongoliensis,,Pedobacter mongoliensis,0.13722312,M1,Bacteroidota,1,0.783845901,7,0.245492372,0.273271455,0,7,0,0
16,Parasegetibacter luojiensis,,Parasegetibacter luojiensis,0.12336829,M1,Bacteroidota,1,0.764057994,7,0.234126984,0.24826473,0,2,0,0
140,Zhizhongheella caldifontis,,Zhizhongheella caldifontis,0.121681616,M5,Pseudomonadota,1,0.780888915,2,0.6,0.666666667,0,3,0,0
190,Pseudomonas brassicacearum,,Pseudomonas brassicacearum,0.12107923,M9,Pseudomonadota,1,0.816338718,1,1,1,0,9,0,0
39,Ferruginibacter paludis,,Ferruginibacter paludis,0.113609664,M1,Bacteroidota,1,0.76344341,6,0.297979798,0.319962335,0,2,0,0
169,Mycetocola sp. 449,,Mycetocola sp. 449,0.111682035,M1,Actinomycetota,1,0.833090603,6,0.288743883,0.312711864,0,7,0,0
180,Acidothermus cellulolyticus,,Acidothermus cellulolyticus,0.1092725,M3,Actinomycetota,1,0.811841071,7,0.255411255,0.286642454,0,4,0,0
150,Rhizobium sp. WL3,,Rhizobium sp. WL3,0.10686296,M7,Pseudomonadota,2,1.593946457,1,1,1,5.45E-05,8,0,0
