ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangles,Modularity,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
99,Candidatus Solibacter usitatus,,Candidatus Solibacter usitatus,0.41818595,M1,Acidobacteriota,43,34.9182958,6,0.448680352,0.571895425,0.005981042,8,0.605758583,547
98,Acidibacter ferrireducens,,Acidibacter ferrireducens,0.28101668,M1,Pseudomonadota,35,28.09735847,6,0.437142857,0.544662309,0.002808592,8,0.677310924,403
97,Tumebacillus ginsengisoli,,Tumebacillus ginsengisoli,1.3288189,M1,Bacillota,1,0.768677711,7,0.294230769,0.330298786,0,8,0,0
96,Terrimonas soli,,Terrimonas soli,0.4111071,M1,Bacteroidota,4,3.16395396,6,0.343820225,0.378540305,0.002793656,2,0.5,3
95,Niastella hibisci,,Niastella hibisci,0.15159407,M5,Bacteroidota,1,0.778651476,2,0.666666667,0.75,0,3,0,0
94,Solirubrobacter soli,,Solirubrobacter soli,0.43815362,M2,Actinomycetota,25,20.14007384,5,0.438395415,0.514052288,0.005322411,0,0.633333333,190
93,Brevitalea aridisoli,,Brevitalea aridisoli,0.28081635,M1,Acidobacteriota,26,20.77927577,6,0.408,0.500544662,9.72E-04,8,0.732307692,238
92,Brevitalea deliciosa,,Brevitalea deliciosa,0.84678984,M1,Acidobacteriota,23,18.56139117,7,0.350114416,0.452567694,6.82E-04,8,0.735177866,186
91,Gaiella occulta,,Gaiella occulta,2.4580278,M2,Actinomycetota,23,18.9419052,6,0.409090909,0.494771242,0.003149777,0,0.628458498,159
90,Nitrosospira multiformis,,Nitrosospira multiformis,0.79530126,M7,Pseudomonadota,1,0.912324727,2,0.666666667,0.75,0,5,0,0
9,Skermanella aerolata,,Skermanella aerolata,0.28822908,M2,Pseudomonadota,17,13.71438128,4,0.419178082,0.477668845,0.001850337,0,0.676470588,92
89,Microlunatus aurantiacus,,Microlunatus aurantiacus,0.30398953,M2,Actinomycetota,34,27.7964685,4,0.495145631,0.572440087,0.021323104,0,0.486631016,273
88,Friedmanniella endophytica,,Friedmanniella endophytica,0.14691937,M2,Actinomycetota,30,24.2331931,5,0.466463415,0.547276688,0.007919529,0,0.627586207,273
87,Microlunatus ginsengisoli,,Microlunatus ginsengisoli,0.45758706,M2,Actinomycetota,28,22.82313037,5,0.451327434,0.531481481,0.012028846,0,0.579365079,219
86,Microlunatus panaciterrae,,Microlunatus panaciterrae,0.19446781,M2,Actinomycetota,33,26.64133441,5,0.487261146,0.567211329,0.013543852,0,0.549242424,290
85,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.34158754,M2,Actinomycetota,40,32.85872579,5,0.482649842,0.581045752,0.013742294,0,0.534615385,417
84,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.3192825,M4,Cyanobacteriota,3,2.49070859,1,1,1,2.09E-04,4,0,0
83,Planctomycetales bacterium,,Planctomycetales bacterium,0.62714535,M2,Planctomycetota,46,37.72674084,5,0.504950495,0.609368192,0.033017893,0,0.484057971,501
82,Thermostilla marina,,Thermostilla marina,0.28248587,M1,Planctomycetota,43,34.94454992,6,0.448680352,0.571350763,0.006464393,8,0.57585825,520
81,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.27527347,M1,Planctomycetota,50,40.78722715,5,0.5221843,0.628213508,0.03391023,8,0.503673469,617
80,Devosia sp. A16,,Devosia sp. A16,0.40429538,M6,Pseudomonadota,2,1.575678229,6,0.2390625,0.254139434,0.010581274,7,0,0
8,Noviherbaspirillum soli,,Noviherbaspirillum soli,0.12314514,M1,Pseudomonadota,1,0.778071404,6,0.240944882,0.254030501,0,2,0,0
