ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
86,Nitrosospira multiformis,,Nitrosospira multiformis,0.66447085,M7,Pseudomonadota,1,0.9180246,1,1,1,0,4,0,0
49,Leptolyngbya sp. O-77,,Leptolyngbya sp. O-77,0.55486035,M5,Cyanobacteriota,1,0.846372783,3,0.5,0.611111111,0,3,0,0
50,Nitrosospira briensis,,Nitrosospira briensis,0.54056334,M7,Pseudomonadota,1,0.9180246,1,1,1,0,4,0,0
131,Ramlibacter tataouinensis,,Ramlibacter tataouinensis,0.4098478,M2,Pseudomonadota,1,0.785469472,5,0.329317269,0.348170732,0,5,0,0
79,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.39909098,M5,Cyanobacteriota,2,1.628628075,2,0.75,0.833333333,1.24E-04,3,0,0
75,Devosia sp. A16,,Devosia sp. A16,0.34721324,M2,Pseudomonadota,1,0.755901694,4,0.348195329,0.367886179,0,5,0,0
59,[Polyangium] brachysporum,,[Polyangium] brachysporum,0.31439817,M3,Pseudomonadota,1,0.764006972,5,0.284228769,0.299085366,0,5,0,0
175,Aliterella antarctica,,Aliterella antarctica,0.23161165,M4,Cyanobacteriota,1,0.766123891,2,0.538461538,0.571428571,0,2,0,0
159,Oscillatoria acuminata,,Oscillatoria acuminata,0.20737481,M5,Cyanobacteriota,2,1.557916462,2,0.75,0.833333333,1.24E-04,3,0,0
169,Planctomyces sp. SH-PL14,,Planctomyces sp. SH-PL14,0.20519622,M6,Planctomycetota,1,0.741074383,1,1,1,0,6,0,0
47,Terrimonas suqianensis,,Terrimonas suqianensis,0.1485528,M2,Bacteroidota,1,0.796248972,5,0.33814433,0.36046748,0,1,0,0
34,Massilia umbonata,,Massilia umbonata,0.14719118,M2,Pseudomonadota,1,0.758562982,6,0.281786942,0.298780488,0,1,0,0
128,Sinorhizobium sp. RAC02,,Sinorhizobium sp. RAC02,0.13520892,M2,Pseudomonadota,1,0.756796479,6,0.264516129,0.278963415,0,1,0,0
106,Lysobacter dokdonensis,,Lysobacter dokdonensis,0.13044325,M1,Pseudomonadota,1,0.743534327,5,0.312977099,0.329674797,0,0,0,0
107,Arboricoccus pini,,Arboricoccus pini,0.12186504,M1,Pseudomonadota,1,0.796903491,6,0.299817185,0.324085366,0,0,0,0
7,Variovorax ginsengisoli,,Variovorax ginsengisoli,0.11233369,M2,Pseudomonadota,1,0.806024194,5,0.304267161,0.324288618,0,1,0,0
173,Ornatilinea apprima,,Ornatilinea apprima,0.11097208,M2,Chloroflexota,1,0.827260315,5,0.327345309,0.351626016,0,1,0,0
158,Zavarzinella formosa,,Zavarzinella formosa,0.10974661,M3,Planctomycetota,1,0.824323416,5,0.300917431,0.314227642,0,5,0,0
93,Agromyces albus,,Agromyces albus,0.10525327,M1,Actinomycetota,1,0.778787017,5,0.338842975,0.36554878,0,0,0,0
180,Betaproteobacteria bacterium GR16-43,,Betaproteobacteria bacterium GR16-43,0.10198538,M6,Pseudomonadota,1,0.741074383,1,1,1,0,6,0,0
150,Trichocoleus desertorum,,Trichocoleus desertorum,0.10035144,M5,Cyanobacteriota,1,0.77566117,3,0.5,0.611111111,0,3,0,0
12,Povalibacter uvarum,,Povalibacter uvarum,1.0315638,M3,Pseudomonadota,90,73.20142168,3,0.666666667,0.766260163,0.061373456,5,0.357553059,1432
13,Steroidobacter denitrificans,,Steroidobacter denitrificans,1.40315,M2,Pseudomonadota,85,68.42857087,3,0.653386454,0.75101626,0.053941611,1,0.380952381,1360
120,Steroidobacter agariperforans,,Steroidobacter agariperforans,0.43639937,M2,Pseudomonadota,35,27.31580329,4,0.517350158,0.582825203,0.041025785,1,0.410084034,244
9,Skermanella stibiiresistens,,Skermanella stibiiresistens,1.5563322,M1,Pseudomonadota,76,60.45892096,3,0.623574144,0.720528455,0.035072381,0,0.412631579,1176
149,Bdellovibrio bacteriovorus,,Bdellovibrio bacteriovorus,0.14991443,M3,Bdellovibrionota,9,7.018229723,4,0.396135266,0.43546748,0.010776452,5,0.416666667,15
76,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.3028244,M2,Planctomycetota,70,55.69878554,3,0.607407407,0.701219512,0.033562149,5,0.419461698,1013
67,Aciditerrimonas ferrireducens,,Aciditerrimonas ferrireducens,1.185563,M1,Actinomycetota,62,48.97054029,4,0.577464789,0.672256098,0.037943068,0,0.421470122,797
44,Niastella koreensis,,Niastella koreensis,0.17741916,M2,Bacteroidota,7,5.390852809,5,0.358862144,0.394512195,0.015925569,1,0.428571429,9
100,Rubrobacter radiotolerans,,Rubrobacter radiotolerans,0.5571751,M1,Actinomycetota,68,55.49700916,4,0.5795053,0.68546748,0.023400443,0,0.44381036,1011
78,Planctomycetales bacterium,,Planctomycetales bacterium,0.69565195,M1,Planctomycetota,63,50.80109501,4,0.561643836,0.666158537,0.021060261,0,0.457245264,893
15,Pirellula staleyi,,Pirellula staleyi,0.41039243,M3,Planctomycetota,52,41.17556453,4,0.546666667,0.635670732,0.016188822,5,0.463046757,614
16,Planctomycetes bacterium Pla175,,Planctomycetes bacterium Pla175,0.38738105,M3,Planctomycetota,66,52.82961589,3,0.596363636,0.68800813,0.018673227,5,0.467132867,1002
116,Microvirga ossetica,,Microvirga ossetica,0.76346064,M1,Pseudomonadota,61,49.18655753,3,0.575438596,0.667682927,0.021613625,0,0.477595628,874
137,Longimicrobium terrae,,Longimicrobium terrae,0.24781494,M3,Gemmatimonadota,34,26.66666943,4,0.50617284,0.575203252,0.013102965,5,0.479500891,269
108,Limisphaera ngatamarikiensis,,Limisphaera ngatamarikiensis,0.5321213,M2,Verrucomicrobiota,38,30.1642949,4,0.485207101,0.569613821,0.01752227,1,0.480796586,338
57,Chthoniobacter flavus,,Chthoniobacter flavus,0.41461346,M2,Verrucomicrobiota,52,41.42797589,3,0.561643836,0.642276423,0.019579332,5,0.481900452,639
17,Chryseolinea serpens,,Chryseolinea serpens,0.5872669,M2,Bacteroidota,50,40.55829901,4,0.537704918,0.62550813,0.019035853,1,0.490612245,601
18,Chryseolinea soli,,Chryseolinea soli,2.0156069,M2,Bacteroidota,54,44.00789195,4,0.544850498,0.637703252,0.013508518,1,0.49126485,703
112,Gemmatirosa kalamazoonesis,,Gemmatirosa kalamazoonesis,0.68135494,M1,Gemmatimonadota,50,40.1544416,4,0.522292994,0.617886179,0.018337209,0,0.493061224,604
110,Planctomycetes bacterium ETA_A8,,Planctomycetes bacterium ETA_A8,0.5593537,M3,Planctomycetota,51,40.45608276,4,0.548494983,0.634146341,0.011384921,5,0.494117647,630
113,Roseisolibacter agri,,Roseisolibacter agri,0.26660532,M1,Gemmatimonadota,47,37.27211982,4,0.518987342,0.609756098,0.012007795,0,0.499537465,540
27,Arthrobacter alpinus,,Arthrobacter alpinus,0.16230518,M1,Actinomycetota,8,6.213782251,4,0.396135266,0.43445122,2.01E-04,0,0.5,14
166,Oligoflexus tunisiensis,,Oligoflexus tunisiensis,0.10307468,M3,Bdellovibrionota,5,3.89760685,5,0.371882086,0.404369919,1.41E-04,5,0.5,5
61,[Brevibacterium] frigoritolerans,,[Brevibacterium] frigoritolerans,0.51401174,M2,Bacillota,52,41.88311672,3,0.552188552,0.637195122,0.01159973,1,0.509803922,676
126,Neobacillus niacini,,Neobacillus niacini,0.22507587,M2,Bacillota,54,42.81557596,4,0.55033557,0.641260163,0.011037562,1,0.511530398,732
1,Vicinamibacter silvestris,,Vicinamibacter silvestris,8.762981,M1,Actinomycetota,54,42.6573779,3,0.563573883,0.647357724,0.012496332,0,0.514325646,736
45,Fimbriimonas ginsengisoli,,Fimbriimonas ginsengisoli,0.22602901,M2,Armatimonadota,38,30.27619565,4,0.518987342,0.590447154,0.015593585,5,0.517780939,364
95,Acidibacter ferrireducens,,Acidibacter ferrireducens,0.31861922,M3,Pseudomonadota,43,33.58894783,4,0.537704918,0.611788618,0.007184264,5,0.518272425,468
