ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
47,Leptolyngbya sp. O-77,,Leptolyngbya sp. O-77,0.47197178,M9,Cyanobacteriota,1,0.87533462,1,1,1,0,5,0,0
99,Lysobacter caseinilyticus,,Lysobacter caseinilyticus,0.37506303,M3,Pseudomonadota,1,0.77276361,5,0.293693694,0.310429448,0,2,0,0
77,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.37244385,M9,Cyanobacteriota,1,0.87533462,1,1,1,0,5,0,0
41,Sphingomonas sediminicola,,Sphingomonas sediminicola,0.3469071,M3,Pseudomonadota,1,0.77925688,6,0.282986111,0.301226994,0,2,0,0
49,Holophaga foetida,,Holophaga foetida,0.2890238,M5,Acidobacteriota,1,0.780097902,6,0.277210884,0.292944785,0,4,0,0
156,Herbaspirillum seropedicae,,Herbaspirillum seropedicae,0.27514225,M2,Pseudomonadota,2,1.557117701,5,0.355895197,0.382822086,0.009672188,0,0,0
134,Noviherbaspirillum massiliense,,Noviherbaspirillum massiliense,0.26938012,M2,Pseudomonadota,1,0.774778187,5,0.353579176,0.377709611,0,0,0,0
15,Anaeromyxobacter sp. K,,Anaeromyxobacter sp. K,0.24070036,M2,Myxococcota,1,0.80042851,6,0.268533773,0.284458078,0,1,0,0
147,Blastococcus saxobsidens,,Blastococcus saxobsidens,0.23009278,M8,Actinomycetota,1,0.844416022,7,0.237263464,0.250876424,0,6,0,0
24,Arthrobacter sp. UKPF54-2,,Arthrobacter sp. UKPF54-2,0.21149679,M3,Actinomycetota,1,0.78734839,6,0.300738007,0.322188139,0,2,0,0
69,Tepidiforma bonchosmolovskayae,,Tepidiforma bonchosmolovskayae,0.21031816,M1,Chloroflexota,1,0.775226176,6,0.288495575,0.306646217,0,6,0,0
25,Arthrobacter sp. U41,,Arthrobacter sp. U41,0.17862639,M2,Actinomycetota,1,0.79137969,6,0.309885932,0.331288344,0,0,0,0
167,Pontibacter populi,,Pontibacter populi,0.15963751,M3,Bacteroidota,1,0.769869626,6,0.282986111,0.301226994,0,2,0,0
27,Arthrobacter alpinus,,Arthrobacter alpinus,0.15806602,M1,Actinomycetota,1,0.777208924,5,0.347547974,0.373312883,0,6,0,0
145,Rhodoplanes azumiensis,,Rhodoplanes azumiensis,0.1509943,M1,Pseudomonadota,1,0.771404386,6,0.30754717,0.332310838,0,6,0,0
161,Planctomycetes bacterium Pan265,,Planctomycetes bacterium Pan265,0.13344596,M2,Planctomycetota,1,0.762215316,6,0.27394958,0.289366053,0,0,0,0
93,Ammoniphilus resinae,,Ammoniphilus resinae,0.13305308,M2,Bacillota,2,1.563593209,5,0.350537634,0.3799591,6.71E-05,0,0,0
