ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
19,Arthrobacter sp. PGP41,,Arthrobacter sp. PGP41,0.19832522,M8,Actinomycetota,1,0.797918677,2,0.666666667,0.75,0,2,0,0
21,Arthrobacter sp. U41,,Arthrobacter sp. U41,0.15824556,M13,Actinomycetota,1,0.771912515,1,1,1,0,6,0,0
22,Arthrobacter sp. QXT-31,,Arthrobacter sp. QXT-31,0.4516563,M8,Actinomycetota,2,1.57576406,1,1,1,7.48E-05,2,0,0
23,Arthrobacter alpinus,,Arthrobacter alpinus,0.13378315,M2,Actinomycetota,1,0.771109283,7,0.248618785,0.268677249,0,0,0,0
24,Arthrobacter sp. 24S4-2,,Arthrobacter sp. 24S4-2,0.10241044,M8,Actinomycetota,1,0.777845383,2,0.666666667,0.75,0,2,0,0
29,Rubrivivax gelatinosus,,Rubrivivax gelatinosus,0.36569238,M7,Pseudomonadota,1,0.820212901,6,0.232758621,0.246419753,0,0,0,0
39,Oscillatoria nigro-viridis,,Oscillatoria nigro-viridis,2.4357378,M5,Cyanobacteriota,1,0.866208196,3,0.428571429,0.5,0,10,0,0
41,Terrimonas suqianensis,,Terrimonas suqianensis,0.1423519,M3,Bacteroidota,1,0.76852107,6,0.238515901,0.257037037,0,1,0,0
44,Holophaga foetida,,Holophaga foetida,0.29424,M11,Acidobacteriota,1,0.819871724,7,0.220588235,0.234462081,0,4,0,0
53,Agrobacterium tumefaciens,,Agrobacterium tumefaciens,0.18174054,M14,Pseudomonadota,1,0.773341298,1,1,1,0,5,0,0
55,[Polyangium] brachysporum,,[Polyangium] brachysporum,0.4360391,M7,Pseudomonadota,3,2.374213636,5,0.302690583,0.329876543,0.019976059,0,0,0
60,Microbacterium saccharophilum,,Microbacterium saccharophilum,0.22043814,M12,Actinomycetota,2,1.535698235,6,0.279503106,0.304567901,0.010025438,0,0,0
61,Tepidisphaera mucosa,,Tepidisphaera mucosa,0.20219499,M13,Planctomycetota,1,0.771912515,1,1,1,0,6,0,0
62,Candidatus Saccharibacteria bacterium oral taxon 955,,Candidatus Saccharibacteria bacterium oral taxon 955,0.3788219,M10,Candidatus Saccharibacteria,1,0.806952775,1,1,1,0,7,0,0
65,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,0.38987836,M7,Candidatus Saccharibacteria,1,0.793312013,6,0.232758621,0.246419753,0,0,0,0
72,Devosia sp. A16,,Devosia sp. A16,0.36541596,M9,Pseudomonadota,1,0.790519893,1,1,1,0,9,0,0
100,Roseimicrobium gellanilyticum,,Roseimicrobium gellanilyticum,0.11747487,M1,Verrucomicrobiota,1,0.781911492,6,0.28125,0.303209877,0,13,0,0
115,Ramlibacter monticola,,Ramlibacter monticola,0.11360511,M15,Pseudomonadota,1,0.778015494,1,1,1,0,12,0,0
121,Ramlibacter tataouinensis,,Ramlibacter tataouinensis,0.4577374,M15,Pseudomonadota,1,0.778015494,1,1,1,0,12,0,0
127,Lautropia mirabilis,,Lautropia mirabilis,0.10406891,M12,Pseudomonadota,1,0.769380927,7,0.218800648,0.232592593,0,0,0,0
128,Rhizobium giardinii,,Rhizobium giardinii,0.29976824,M9,Pseudomonadota,1,0.790519893,1,1,1,0,9,0,0
129,Sandaracinus amylolyticus,,Sandaracinus amylolyticus,0.21629196,M3,Myxococcota,2,1.557519197,6,0.260617761,0.286790123,5.44E-04,0,0,0
131,Rhodocytophaga aerolata,,Rhodocytophaga aerolata,0.20882885,M3,Bacteroidota,1,0.796489716,7,0.193965517,0.209153439,0,1,0,0
135,Bdellovibrio bacteriovorus,,Bdellovibrio bacteriovorus,0.13544162,M6,Bdellovibrionota,2,1.54870683,6,0.296052632,0.32308642,0.006490629,1,0,0
139,Candidatus Saccharibacteria bacterium oral taxon 957,,Candidatus Saccharibacteria bacterium oral taxon 957,0.14331934,M10,Candidatus Saccharibacteria,1,0.806952775,1,1,1,0,7,0,0
143,Archangium gephyra,,Archangium gephyra,0.19459367,M2,Myxococcota,1,0.771463215,6,0.323741007,0.358888889,0,11,0,0
