ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangles,Modularity,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
99,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.30735186,M2,Actinomycetota,33,25.44657522,5,0.485465116,0.559081836,0.038779169,9,0.465909091,246
98,Bacillus cereus,,Bacillus cereus,0.12667403,M1,Bacillota,3,2.21650511,8,0.292469352,0.336334474,0,1,1,3
97,Bacillus thuringiensis,,Bacillus thuringiensis,0.19303627,M1,Bacillota,2,1.517937183,8,0.273322422,0.314577987,0,1,1,1
96,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.6138669,M5,Cyanobacteriota,5,4.053168654,2,0.857142857,0.916666667,4.61E-04,7,0.3,3
95,Planctomycetales bacterium,,Planctomycetales bacterium,0.5498219,M1,Planctomycetota,47,37.2729212,7,0.436031332,0.566324494,0.011885472,1,0.555041628,600
94,Thermostilla marina,,Thermostilla marina,0.25354114,M1,Planctomycetota,39,30.20171452,7,0.421717172,0.539078985,0.002936842,1,0.650472335,482
93,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.2421482,M1,Planctomycetota,42,32.62493086,6,0.444148936,0.557684631,0.005273646,1,0.605110337,521
92,Gloeocapsa sp. PCC 7428,,Gloeocapsa sp. PCC 7428,0.25778934,M4,Cyanobacteriota,6,5.050458908,1,1,1,0,6,1,15
91,Crinalium epipsammum,,Crinalium epipsammum,0.99131435,M4,Cyanobacteriota,6,5.344625533,1,1,1,0,6,1,15
90,Anabaena cylindrica,,Anabaena cylindrica,0.42160308,M4,Cyanobacteriota,6,5.176237822,1,1,1,0,6,1,15
9,Skermanella aerolata,,Skermanella aerolata,0.33187565,M2,Myxococcota,22,16.88570684,5,0.403381643,0.472754491,0.013556027,0,0.467532468,108
89,Pseudorhodoferax soli,,Pseudorhodoferax soli,0.131759,M3,Pseudomonadota,3,2.217780471,7,0.210592686,0.237895637,0.008511511,2,0.333333333,1
88,Tepidiforma bonchosmolovskayae,,Tepidiforma bonchosmolovskayae,0.16265512,M1,Chloroflexota,32,24.41319656,6,0.412345679,0.511277445,0.005715341,9,0.574596774,285
87,Ilumatobacter fluminis,,Ilumatobacter fluminis,0.6477883,M1,Actinomycetota,19,14.50833905,5,0.42278481,0.482734531,0.022511633,9,0.50877193,87
86,Microcoleus sp. PCC 7113,,Microcoleus sp. PCC 7113,2.7153168,M5,Cyanobacteriota,4,3.001340032,2,0.75,0.833333333,2.56E-04,7,0.5,3
85,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,0.33844107,M2,Candidatus Saccharibacteria,13,9.650736868,7,0.367032967,0.430496151,0.001031235,0,0.58974359,46
84,Aquihabitans daechungensis,,Aquihabitans daechungensis,0.15538165,M1,Actinomycetota,5,3.726645231,7,0.328740157,0.378100941,6.51E-06,9,0.9,9
83,Aciditerrimonas ferrireducens,,Aciditerrimonas ferrireducens,0.8687598,M1,Actinomycetota,56,44.43112713,6,0.457534247,0.59740519,0.023929387,9,0.446103896,687
82,Arthrobacter crystallopoietes,,Arthrobacter crystallopoietes,0.124099344,M3,Acidobacteriota,23,18.2650007,5,0.346473029,0.427744511,0.002797136,2,0.632411067,160
81,Candidatus Saccharibacteria bacterium oral taxon 955,,Candidatus Saccharibacteria bacterium oral taxon 955,0.59455687,M3,Candidatus Saccharibacteria,15,11.40356708,5,0.325536062,0.390918164,0.01532677,2,0.428571429,45
80,Tepidisphaera mucosa,,Tepidisphaera mucosa,0.1990224,M1,Planctomycetota,3,2.212047279,7,0.340816327,0.383989165,0,9,1,3
8,Noviherbaspirillum soli,,Noviherbaspirillum soli,0.12326258,M3,Pseudomonadota,6,4.432167828,5,0.308687616,0.352195609,0.003480297,2,0.6,9
79,Microbacterium saccharophilum,,Microbacterium saccharophilum,0.25386298,M3,Actinomycetota,18,13.39788699,5,0.362255965,0.429540918,0.003659322,2,0.620915033,95
78,Bacillus megaterium,,Bacillus megaterium,0.33148944,M1,Bacillota,36,27.83788574,7,0.41959799,0.529897348,0.002119165,1,0.688888889,434
77,Peribacillus simplex,,Peribacillus simplex,0.20745446,M1,Bacillota,28,20.99134243,7,0.370288248,0.477102937,0.005993976,1,0.685185185,259
76,[Brevibacterium] frigoritolerans,,[Brevibacterium] frigoritolerans,0.38613692,M1,Bacillota,31,23.3844375,7,0.402409639,0.50774166,0.006199783,1,0.696774194,324
75,Peribacillus muralis,,Peribacillus muralis,0.10813636,M1,Bacillota,13,9.768221378,7,0.341513292,0.411434274,5.75E-04,1,0.782051282,61
74,[Polyangium] brachysporum,,[Polyangium] brachysporum,0.43698674,M7,Pseudomonadota,2,1.569664419,2,0.75,0.833333333,1.03E-04,5,0,0
73,Nordella oligomobilis,,Nordella oligomobilis,0.25740317,M1,Pseudomonadota,30,22.85134,7,0.407317073,0.508340462,0.012515158,1,0.6,261
