ID,Label,Taxa,Phylum,Rel Abund,Module,Degree,Weighted Degree,Modulatiry Class,Clustering Coeff,No. triangles,Eigenvector Centrality,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality
1,Vicinamibacter silvestris,Vicinamibacter silvestris,Acidobacteria,7.719291844,M1,39,32.58000094,8,0.58974359,437,0.855123323,7,0.36809816,0.559583333,491.9367162
2,Stenotrophobacter roseus,Stenotrophobacter roseus,Acidobacteria,0.413668455,M1,4,3.478438735,0,0.833333333,5,0.014710797,6,0.293398533,0.335833333,0.585714286
3,Stenotrophobacter namibiensis,Stenotrophobacter namibiensis,Acidobacteria,0.266679003,M1,7,5.916983843,0,0.333333333,7,0.016736527,5,0.322580645,0.373472222,1867.186292
4,Stenotrophobacter terrae,Stenotrophobacter terrae,Acidobacteria,0.764723053,M1,6,5.107679188,0,0.6,9,0.080053168,6,0.337078652,0.399722222,270.1117159
5,Luteitalea pratensis,Luteitalea pratensis,Acidobacteria,2.258920357,M2,29,24.14366251,2,0.694581281,282,0.682234185,8,0.320855615,0.501478175,23.45426737
6,Variovorax paradoxus,Variovorax paradoxus,Proteobacteria,0.344930037,M3,3,2.528714716,1,0.333333333,1,0.001854224,9,0.151898734,0.195274471,2.5
7,Skermanella aerolata,Skermanella aerolata,Proteobacteria,0.290916625,M4,2,1.803643107,0,1,1,0.001752107,6,0.228571429,0.255833333,0
8,Skermanella stibiiresistens,Skermanella stibiiresistens,Proteobacteria,1.588280979,M4,10,8.443950534,0,0.2,9,0.006881737,5,0.294840295,0.353055556,2613.050987
9,Nitrospira japonica,Nitrospira japonica,Nitrospirae,1.609326012,M1,10,8.346914172,0,0.4,18,0.112209005,6,0.344827586,0.421944444,696.9468471
10,Nitrospira moscoviensis,Nitrospira moscoviensis,Nitrospirae,0.191946333,M1,2,1.628484905,0,0,0,0.024876136,7,0.289156627,0.340138889,4.012522853
11,Povalibacter uvarum,Povalibacter uvarum,Proteobacteria,0.937513845,M2,49,41.86498493,2,0.495748299,583,0.994425444,7,0.380952381,0.606805556,565.0788413
12,Steroidobacter denitrificans,Steroidobacter denitrificans,Proteobacteria,1.228430471,M1,48,41.03394067,2,0.510638298,576,0.987871019,8,0.350877193,0.598700397,406.0864812
13,Woeseia oceani,Woeseia oceani,Proteobacteria,0.388714129,M1,47,40.09581107,8,0.543940796,588,1,8,0.345821326,0.588978175,163.5028993
14,Pirellula staleyi,Pirellula staleyi,Planctomycetes,0.377116557,M2,37,31.02712643,2,0.672672673,448,0.863808215,8,0.334261838,0.54453373,43.31294405
